ID Lead,Nome Struttura / Host,Tipologia,Città / Area,Quartiere / Micro-Zona,Sito Web / Portale,Email Contatto,WhatsApp / Telefono,Data Aggiornamento
RM-0001,Trastevere Luxury Apartment #1,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trastevereluxuryapartment1.it,info@trastevereluxuryapartment1.it,+39 334 308 9759,2026-08-17
RM-0002,Trastevere Luxury Apartment #2,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trastevereluxuryapartment2.it,info@trastevereluxuryapartment2.it,+39 334 308 9759,2026-08-17
RM-0003,Trastevere Luxury Apartment #3,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trastevereluxuryapartment3.it,info@trastevereluxuryapartment3.it,+39 334 308 9759,2026-08-17
RM-0004,Trastevere Boutique Suites #1,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trastevereboutiquesuites1.it,info@trastevereboutiquesuites1.it,+39 334 308 9759,2026-08-17
RM-0005,Trastevere Boutique Suites #2,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trastevereboutiquesuites2.it,info@trastevereboutiquesuites2.it,+39 334 308 9759,2026-08-17
RM-0006,Trastevere Boutique Suites #3,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trastevereboutiquesuites3.it,info@trastevereboutiquesuites3.it,+39 334 308 9759,2026-08-17
RM-0007,Trastevere Charme Flat #1,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trasteverecharmeflat1.it,info@trasteverecharmeflat1.it,+39 334 308 9759,2026-08-17
RM-0008,Trastevere Charme Flat #2,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trasteverecharmeflat2.it,info@trasteverecharmeflat2.it,+39 334 308 9759,2026-08-17
RM-0009,Trastevere Charme Flat #3,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trasteverecharmeflat3.it,info@trasteverecharmeflat3.it,+39 334 308 9759,2026-08-17
RM-0010,Trastevere Design Loft #1,Alloggio Airbnb / Case Vacanza,Roma,Trastevere,https://www.trasteveredesignloft1.it,info@trasteveredesignloft1.it,+39 334 308 9759,2026-08-17
