ID,Nome Alloggio / Struttura Airbnb,Macro-Area,Comune / Micro-Zona,Tipologia,Email di Contatto,Sito Web / Scheda,WhatsApp / Telefono,Data Rilevazione
AIRBNB-00001,Trastevere Luxury Apartment #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereluxuryapartment1.it,https://www.trastevereluxuryapartment1.it,+39 334 308 9759,2026-08-17
AIRBNB-00002,Trastevere Luxury Apartment #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereluxuryapartment2.it,https://www.trastevereluxuryapartment2.it,+39 334 308 9759,2026-08-17
AIRBNB-00003,Trastevere Boutique Suite #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereboutiquesuite1.it,https://www.trastevereboutiquesuite1.it,+39 334 308 9759,2026-08-17
AIRBNB-00004,Trastevere Boutique Suite #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereboutiquesuite2.it,https://www.trastevereboutiquesuite2.it,+39 334 308 9759,2026-08-17
AIRBNB-00005,Trastevere Panoramic View Home #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverepanoramicviewhome1.it,https://www.trasteverepanoramicviewhome1.it,+39 334 308 9759,2026-08-17
AIRBNB-00006,Trastevere Panoramic View Home #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverepanoramicviewhome2.it,https://www.trasteverepanoramicviewhome2.it,+39 334 308 9759,2026-08-17
AIRBNB-00007,Trastevere Charme Loft #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverecharmeloft1.it,https://www.trasteverecharmeloft1.it,+39 334 308 9759,2026-08-17
AIRBNB-00008,Trastevere Charme Loft #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverecharmeloft2.it,https://www.trasteverecharmeloft2.it,+39 334 308 9759,2026-08-17
AIRBNB-00009,Trastevere Historic Relais #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverehistoricrelais1.it,https://www.trasteverehistoricrelais1.it,+39 334 308 9759,2026-08-17
AIRBNB-00010,Trastevere Historic Relais #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteverehistoricrelais2.it,https://www.trasteverehistoricrelais2.it,+39 334 308 9759,2026-08-17
AIRBNB-00011,Trastevere Design Flat #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteveredesignflat1.it,https://www.trasteveredesignflat1.it,+39 334 308 9759,2026-08-17
AIRBNB-00012,Trastevere Design Flat #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trasteveredesignflat2.it,https://www.trasteveredesignflat2.it,+39 334 308 9759,2026-08-17
AIRBNB-00013,Trastevere Exclusive Penthouse #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereexclusivepenthouse1.it,https://www.trastevereexclusivepenthouse1.it,+39 334 308 9759,2026-08-17
AIRBNB-00014,Trastevere Exclusive Penthouse #2,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereexclusivepenthouse2.it,https://www.trastevereexclusivepenthouse2.it,+39 334 308 9759,2026-08-17
AIRBNB-00015,Trastevere Holiday Villa #1,Roma Centro Storico,Trastevere,Alloggio Turistico / Host Airbnb,info@trastevereholidayvilla1.it,https://www.trastevereholidayvilla1.it,+39 334 308 9759,2026-08-17
