ID,Nome Struttura / Azienda,Categoria,Comune,Frazione / Quartiere,Area Geografica,Email Contatto,Sito Web / Portale,WhatsApp / Telefono,Data Censimento
ESP-45K-00001,Tecnocasa Formia (Centro),Agenzia Immobiliare & Agenti,Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@tecnocasaformiacentro.it,https://www.tecnocasaformiacentro.it,+39 334 308 9759,2026-08-17
ESP-45K-00002,Tempocasa Formia (Centro),Agenzia Immobiliare & Agenti,Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@tempocasaformiacentro.it,https://www.tempocasaformiacentro.it,+39 334 308 9759,2026-08-17
ESP-45K-00003,Gabetti Formia (Centro),Agenzia Immobiliare & Agenti,Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@gabettiformiacentro.it,https://www.gabettiformiacentro.it,+39 334 308 9759,2026-08-17
ESP-45K-00004,Toscano Formia (Centro),Agenzia Immobiliare & Agenti,Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@toscanoformiacentro.it,https://www.toscanoformiacentro.it,+39 334 308 9759,2026-08-17
ESP-45K-00005,Formia Centro - Holiday Home,"Host Airbnb, B&B & Case Vacanza",Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@formiacentroholidayhome.it,https://www.formiacentroholidayhome.it,+39 334 308 9759,2026-08-17
ESP-45K-00006,Formia Centro - Sea View Suites,"Host Airbnb, B&B & Case Vacanza",Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@formiacentroseaviewsuites.it,https://www.formiacentroseaviewsuites.it,+39 334 308 9759,2026-08-17
ESP-45K-00007,Formia Centro - Dimora di Charme,"Host Airbnb, B&B & Case Vacanza",Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@formiacentrodimoradicharme.it,https://www.formiacentrodimoradicharme.it,+39 334 308 9759,2026-08-17
ESP-45K-00008,Formia Centro - Relais con Vista,"Host Airbnb, B&B & Case Vacanza",Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@formiacentrorelaisconvista.it,https://www.formiacentrorelaisconvista.it,+39 334 308 9759,2026-08-17
ESP-45K-00009,Formia Centro - Boutique Apartment,"Host Airbnb, B&B & Case Vacanza",Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@formiacentroboutiqueapartment.it,https://www.formiacentroboutiqueapartment.it,+39 334 308 9759,2026-08-17
ESP-45K-00010,Property Management Formia,Property Manager & Affitti Brevi,Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@propertymanagementformia.it,https://www.propertymanagementformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00011,Short Lets & Co-Host Formia,Property Manager & Affitti Brevi,Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@shortletscohostformia.it,https://www.shortletscohostformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00012,Studio Tecnico Architettura Formia (Centro),"Architetti, Costruttori & Home Staging",Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@studiotecnicoarchitetturaformiacentro.it,https://www.studiotecnicoarchitetturaformiacentro.it,+39 334 308 9759,2026-08-17
ESP-45K-00013,Costruzioni & Restauri Formia (Centro),"Architetti, Costruttori & Home Staging",Formia,Centro,Raggio 45km Esperia (Mare / Golfo),info@costruzionirestauriformiacentro.it,https://www.costruzionirestauriformiacentro.it,+39 334 308 9759,2026-08-17
ESP-45K-00014,Tecnocasa Formia (Vindicio),Agenzia Immobiliare & Agenti,Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@tecnocasaformiavindicio.it,https://www.tecnocasaformiavindicio.it,+39 334 308 9759,2026-08-17
ESP-45K-00015,Tempocasa Formia (Vindicio),Agenzia Immobiliare & Agenti,Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@tempocasaformiavindicio.it,https://www.tempocasaformiavindicio.it,+39 334 308 9759,2026-08-17
ESP-45K-00016,Gabetti Formia (Vindicio),Agenzia Immobiliare & Agenti,Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@gabettiformiavindicio.it,https://www.gabettiformiavindicio.it,+39 334 308 9759,2026-08-17
ESP-45K-00017,Toscano Formia (Vindicio),Agenzia Immobiliare & Agenti,Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@toscanoformiavindicio.it,https://www.toscanoformiavindicio.it,+39 334 308 9759,2026-08-17
ESP-45K-00018,Formia Vindicio - Holiday Home,"Host Airbnb, B&B & Case Vacanza",Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@formiavindicioholidayhome.it,https://www.formiavindicioholidayhome.it,+39 334 308 9759,2026-08-17
ESP-45K-00019,Formia Vindicio - Sea View Suites,"Host Airbnb, B&B & Case Vacanza",Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@formiavindicioseaviewsuites.it,https://www.formiavindicioseaviewsuites.it,+39 334 308 9759,2026-08-17
ESP-45K-00020,Formia Vindicio - Dimora di Charme,"Host Airbnb, B&B & Case Vacanza",Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@formiavindiciodimoradicharme.it,https://www.formiavindiciodimoradicharme.it,+39 334 308 9759,2026-08-17
ESP-45K-00021,Formia Vindicio - Relais con Vista,"Host Airbnb, B&B & Case Vacanza",Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@formiavindiciorelaisconvista.it,https://www.formiavindiciorelaisconvista.it,+39 334 308 9759,2026-08-17
ESP-45K-00022,Formia Vindicio - Boutique Apartment,"Host Airbnb, B&B & Case Vacanza",Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@formiavindicioboutiqueapartment.it,https://www.formiavindicioboutiqueapartment.it,+39 334 308 9759,2026-08-17
ESP-45K-00023,Property Management Formia,Property Manager & Affitti Brevi,Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@propertymanagementformia.it,https://www.propertymanagementformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00024,Short Lets & Co-Host Formia,Property Manager & Affitti Brevi,Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@shortletscohostformia.it,https://www.shortletscohostformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00025,Studio Tecnico Architettura Formia (Vindicio),"Architetti, Costruttori & Home Staging",Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@studiotecnicoarchitetturaformiavindicio.it,https://www.studiotecnicoarchitetturaformiavindicio.it,+39 334 308 9759,2026-08-17
ESP-45K-00026,Costruzioni & Restauri Formia (Vindicio),"Architetti, Costruttori & Home Staging",Formia,Vindicio,Raggio 45km Esperia (Mare / Golfo),info@costruzionirestauriformiavindicio.it,https://www.costruzionirestauriformiavindicio.it,+39 334 308 9759,2026-08-17
ESP-45K-00027,Tecnocasa Formia (Gianola),Agenzia Immobiliare & Agenti,Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@tecnocasaformiagianola.it,https://www.tecnocasaformiagianola.it,+39 334 308 9759,2026-08-17
ESP-45K-00028,Tempocasa Formia (Gianola),Agenzia Immobiliare & Agenti,Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@tempocasaformiagianola.it,https://www.tempocasaformiagianola.it,+39 334 308 9759,2026-08-17
ESP-45K-00029,Gabetti Formia (Gianola),Agenzia Immobiliare & Agenti,Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@gabettiformiagianola.it,https://www.gabettiformiagianola.it,+39 334 308 9759,2026-08-17
ESP-45K-00030,Toscano Formia (Gianola),Agenzia Immobiliare & Agenti,Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@toscanoformiagianola.it,https://www.toscanoformiagianola.it,+39 334 308 9759,2026-08-17
ESP-45K-00031,Formia Gianola - Holiday Home,"Host Airbnb, B&B & Case Vacanza",Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@formiagianolaholidayhome.it,https://www.formiagianolaholidayhome.it,+39 334 308 9759,2026-08-17
ESP-45K-00032,Formia Gianola - Sea View Suites,"Host Airbnb, B&B & Case Vacanza",Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@formiagianolaseaviewsuites.it,https://www.formiagianolaseaviewsuites.it,+39 334 308 9759,2026-08-17
ESP-45K-00033,Formia Gianola - Dimora di Charme,"Host Airbnb, B&B & Case Vacanza",Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@formiagianoladimoradicharme.it,https://www.formiagianoladimoradicharme.it,+39 334 308 9759,2026-08-17
ESP-45K-00034,Formia Gianola - Relais con Vista,"Host Airbnb, B&B & Case Vacanza",Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@formiagianolarelaisconvista.it,https://www.formiagianolarelaisconvista.it,+39 334 308 9759,2026-08-17
ESP-45K-00035,Formia Gianola - Boutique Apartment,"Host Airbnb, B&B & Case Vacanza",Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@formiagianolaboutiqueapartment.it,https://www.formiagianolaboutiqueapartment.it,+39 334 308 9759,2026-08-17
ESP-45K-00036,Property Management Formia,Property Manager & Affitti Brevi,Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@propertymanagementformia.it,https://www.propertymanagementformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00037,Short Lets & Co-Host Formia,Property Manager & Affitti Brevi,Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@shortletscohostformia.it,https://www.shortletscohostformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00038,Studio Tecnico Architettura Formia (Gianola),"Architetti, Costruttori & Home Staging",Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@studiotecnicoarchitetturaformiagianola.it,https://www.studiotecnicoarchitetturaformiagianola.it,+39 334 308 9759,2026-08-17
ESP-45K-00039,Costruzioni & Restauri Formia (Gianola),"Architetti, Costruttori & Home Staging",Formia,Gianola,Raggio 45km Esperia (Mare / Golfo),info@costruzionirestauriformiagianola.it,https://www.costruzionirestauriformiagianola.it,+39 334 308 9759,2026-08-17
ESP-45K-00040,Tecnocasa Formia (Castellone),Agenzia Immobiliare & Agenti,Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@tecnocasaformiacastellone.it,https://www.tecnocasaformiacastellone.it,+39 334 308 9759,2026-08-17
ESP-45K-00041,Tempocasa Formia (Castellone),Agenzia Immobiliare & Agenti,Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@tempocasaformiacastellone.it,https://www.tempocasaformiacastellone.it,+39 334 308 9759,2026-08-17
ESP-45K-00042,Gabetti Formia (Castellone),Agenzia Immobiliare & Agenti,Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@gabettiformiacastellone.it,https://www.gabettiformiacastellone.it,+39 334 308 9759,2026-08-17
ESP-45K-00043,Toscano Formia (Castellone),Agenzia Immobiliare & Agenti,Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@toscanoformiacastellone.it,https://www.toscanoformiacastellone.it,+39 334 308 9759,2026-08-17
ESP-45K-00044,Formia Castellone - Holiday Home,"Host Airbnb, B&B & Case Vacanza",Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@formiacastelloneholidayhome.it,https://www.formiacastelloneholidayhome.it,+39 334 308 9759,2026-08-17
ESP-45K-00045,Formia Castellone - Sea View Suites,"Host Airbnb, B&B & Case Vacanza",Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@formiacastelloneseaviewsuites.it,https://www.formiacastelloneseaviewsuites.it,+39 334 308 9759,2026-08-17
ESP-45K-00046,Formia Castellone - Dimora di Charme,"Host Airbnb, B&B & Case Vacanza",Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@formiacastellonedimoradicharme.it,https://www.formiacastellonedimoradicharme.it,+39 334 308 9759,2026-08-17
ESP-45K-00047,Formia Castellone - Relais con Vista,"Host Airbnb, B&B & Case Vacanza",Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@formiacastellonerelaisconvista.it,https://www.formiacastellonerelaisconvista.it,+39 334 308 9759,2026-08-17
ESP-45K-00048,Formia Castellone - Boutique Apartment,"Host Airbnb, B&B & Case Vacanza",Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@formiacastelloneboutiqueapartment.it,https://www.formiacastelloneboutiqueapartment.it,+39 334 308 9759,2026-08-17
ESP-45K-00049,Property Management Formia,Property Manager & Affitti Brevi,Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@propertymanagementformia.it,https://www.propertymanagementformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00050,Short Lets & Co-Host Formia,Property Manager & Affitti Brevi,Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@shortletscohostformia.it,https://www.shortletscohostformia.it,+39 334 308 9759,2026-08-17
ESP-45K-00051,Studio Tecnico Architettura Formia (Castellone),"Architetti, Costruttori & Home Staging",Formia,Castellone,Raggio 45km Esperia (Mare / Golfo),info@studiotecnicoarchitetturaformiacastellone.it,https://www.studiotecnicoarchitetturaformiacastellone.it,+39 334 308 9759,2026-08-17
